cohort_month,months_since_first_booking,cohort_users,returned_bookers,booking_retention_rate,bookings,booking_value_proxy_total
2014-03-01,7,34504,3973,0.11514607002086714,6280,6816
2014-03-01,2,34504,3902,0.11308833758404822,6122,6592
2013-01-01,13,48648,8277,0.17014060187469165,14347,15915
2014-03-01,6,34504,3892,0.11279851611407372,6149,6708
2014-03-01,4,34504,4126,0.11958033851147692,6507,7052
2013-01-01,18,48648,9981,0.2051677355698076,18071,19513
2013-01-01,9,48648,8622,0.17723236309817464,15462,17026
2013-01-01,6,48648,8942,0.18381022858082552,15893,17325
2013-01-01,19,48648,9842,0.2023104752507811,17757,19240
2013-01-01,11,48648,6880,0.14142410787699392,11089,12328
2013-01-01,1,48648,10397,0.21371896069725374,19053,20578
2013-01-01,8,48648,8403,0.17273063640848543,14780,16140
2014-02-01,9,24531,2531,0.10317557376380906,3859,4265
2013-11-01,11,19920,2543,0.12766064257028112,3982,4449
2013-02-01,0,43339,43339,1.0,58331,70513
2013-01-01,10,48648,7336,0.15079756618977141,12363,13668
2013-01-01,21,48648,10033,0.20623663871073836,18729,20207
2014-10-01,2,38061,4373,0.11489451144215863,7211,7645
2013-11-01,7,19920,2224,0.11164658634538152,3390,3751
2014-02-01,10,24531,2535,0.10333863275039745,3937,4290
2013-06-01,13,31977,4621,0.14451011664633956,7441,8179
2013-10-01,8,24382,2764,0.11336231646296448,4245,4693
2013-03-01,21,43382,5899,0.13597805541468813,9229,10011
2013-11-01,2,19920,1910,0.09588353413654618,2848,3292
2013-06-01,12,31977,4373,0.13675454232729775,7118,7825
2013-10-01,12,24382,3456,0.1417439094413912,5316,5988
2013-04-01,11,35768,4823,0.13484119883694923,7671,8524
2014-02-01,1,24531,3079,0.12551465492641964,4768,5225
2013-10-01,0,24382,24382,1.0,30758,38590
2013-12-01,6,19946,2149,0.10774090043116415,3257,3580
2013-12-01,5,19946,2017,0.10112303218690465,3114,3445
2013-06-01,16,31977,4021,0.12574663039059325,6278,6893
2013-12-01,12,19946,2567,0.12869748320465257,3990,4428
2014-02-01,8,24531,2740,0.11169540581305287,4346,4787
2013-06-01,4,31977,2864,0.08956437439409576,4208,4775
2014-02-01,7,24531,2845,0.11597570421099833,4461,4950
2013-04-01,4,35768,4186,0.11703198389622009,6438,7178
2013-04-01,17,35768,5253,0.14686311787072243,8452,9332
2013-04-01,10,35768,3563,0.0996141802728696,5422,6091
2013-04-01,5,35768,3894,0.10886826213375084,5876,6591
2013-06-01,2,31977,3414,0.10676423679519655,5002,5508
2013-06-01,15,31977,4082,0.1276542514932608,6404,7062
2013-06-01,8,31977,2682,0.08387278356318605,3856,4394
2013-04-01,18,35768,5256,0.14694699172444645,8533,9358
2013-06-01,6,31977,2333,0.07295868905776026,3313,3758
2013-06-01,11,31977,3875,0.1211808487350283,6287,6930
2014-02-01,0,24531,24531,1.0,30619,40090
2013-11-01,13,19920,2316,0.11626506024096385,3507,3870
2013-06-01,5,31977,2482,0.07761828814460393,3436,3912
2013-04-01,9,35768,3798,0.10618429881458287,5664,6576
2013-12-01,11,19946,2298,0.11521106988869949,3514,3934
2014-07-01,3,43992,4534,0.10306419348972541,6999,7629
2013-03-01,7,43382,5018,0.11567009358720207,7581,8439
2013-10-01,11,24382,3075,0.12611762775818228,4802,5363
2013-10-01,13,24382,2830,0.11606923140021327,4230,4702
2013-10-01,4,24382,1995,0.08182265605774752,2973,3401
2013-02-01,17,43339,7695,0.17755370451556335,13139,14188
2013-12-01,1,19946,2082,0.10438183094354758,3222,3649
2013-04-01,20,35768,4604,0.1287184075150973,7081,7698
2013-02-01,13,43339,7294,0.16830106832183483,12225,13432
2014-02-01,3,24531,2623,0.10692593045534222,4177,4533
2013-10-01,2,24382,1838,0.07538347961611025,2662,3014
2013-03-01,18,43382,6600,0.15213683094370936,10833,11886
2013-03-01,14,43382,6095,0.14049605827301645,9854,10775
2013-02-01,20,43339,7706,0.17780751747848358,13205,14323
2013-02-01,4,43339,6343,0.14635778398209465,10051,10958
2013-02-01,6,43339,6371,0.14700385334225524,10120,11182
2013-02-01,19,43339,7677,0.17713837421260298,13180,14420
2013-02-01,10,43339,4877,0.11253143819654353,7257,8123
2013-02-01,21,43339,6964,0.16068667943422782,11549,12546
2013-03-01,10,43382,4933,0.11371075561292703,7527,8713
2013-04-01,3,35768,4349,0.12158912994855738,6662,7296
2013-02-01,14,43339,7068,0.16308636562911005,11717,12722
2013-01-01,15,48648,9283,0.19081976648577537,16726,18057
2013-01-01,0,48648,48648,1.0,68894,83192
2013-08-01,0,29457,29457,1.0,38085,46373
2013-09-01,5,25430,2069,0.08136059771922925,3030,3463
2014-01-01,4,26143,2543,0.0972726924989481,4053,4498
2013-07-01,8,31600,3332,0.10544303797468355,4904,5529
2014-04-01,5,33832,3842,0.11356112556159849,5975,6552
2014-05-01,0,34312,34312,1.0,46234,54381
2014-08-01,1,42827,5607,0.1309220818642445,9083,9774
2013-07-01,1,31600,3837,0.1214240506329114,5898,6370
2014-08-01,3,42827,4128,0.09638779274756579,6312,6888
2013-09-01,8,25430,2885,0.11344868265827762,4549,4978
2014-08-01,4,42827,4106,0.0958740981156747,6430,6874
2013-05-01,16,33976,4661,0.1371850718153991,7289,8052
2014-08-01,0,42827,42827,1.0,57634,67908
2013-05-01,13,33976,4641,0.136596421003061,7261,7954
2014-04-01,6,33832,3743,0.11063490186805391,5906,6430
2013-07-01,11,31600,4013,0.12699367088607594,6306,6956
2013-09-01,6,25430,2746,0.10798269760125835,4224,4685
2014-06-01,5,36761,3552,0.0966241397132831,5318,5762
2013-07-01,16,31600,3401,0.10762658227848101,5126,5658
2013-07-01,3,31600,2702,0.08550632911392406,4035,4504
2013-09-01,3,25430,1799,0.0707432166732206,2604,2926
2013-07-01,0,31600,31600,1.0,41723,50367
2013-09-01,14,25430,2906,0.11427447896185608,4344,4750
2013-09-01,0,25430,25430,1.0,32747,39991
2014-09-01,2,39480,4238,0.10734549138804458,6771,7306
2013-07-01,13,31600,4216,0.13341772151898734,6564,7261
2013-05-01,10,33976,4203,0.12370496821285613,6344,7084
2014-06-01,2,36761,4271,0.11618291123745274,6640,7158
2013-05-01,1,33976,4637,0.13647869084059336,7257,7822
2014-08-01,2,42827,4620,0.10787587269713031,7219,7848
2014-04-01,2,33832,3847,0.11370891463703003,6027,6477
2013-07-01,7,31600,2559,0.08098101265822785,3719,4243
2013-09-01,2,25430,2022,0.07951238694455368,2867,3187
2013-07-01,4,31600,2396,0.07582278481012658,3478,3948
2013-09-01,11,25430,3481,0.13688556822650413,5431,6033
2013-07-01,15,31600,3786,0.11981012658227848,5788,6354
2014-05-01,4,34312,3743,0.10908719981347634,5969,6566
2013-05-01,6,33976,2899,0.08532493524841064,4146,4698
2014-09-01,1,39480,5703,0.14445288753799393,9419,10068
2014-01-01,6,26143,2966,0.11345293195119152,4623,5154
2013-09-01,9,25430,2877,0.11313409359024774,4496,4894
2014-01-01,5,26143,2639,0.1009448035803083,4060,4511
2014-09-01,3,39480,4042,0.10238095238095238,6438,6900
2013-08-01,15,29457,3278,0.11128085005261908,4964,5485
2013-05-01,8,33976,3277,0.09645043560160113,4830,5575
2014-05-01,3,34312,4147,0.12086150617859641,6364,6923
2013-08-01,2,29457,2687,0.09121770716637811,3942,4448
2014-05-01,6,34312,3460,0.1008393564933551,5293,5748
2014-05-01,1,34312,4922,0.1434483562602005,8062,8537
2014-05-01,5,34312,3752,0.1093494987176498,5958,6502
2013-08-01,9,29457,3283,0.11145058899412703,5070,5588
2013-07-01,17,31600,3572,0.1130379746835443,5255,5728
2013-08-01,5,29457,2570,0.08724581593509183,3717,4342
2013-09-01,7,25430,2781,0.1093590247738891,4311,4755
2013-08-01,12,29457,4179,0.1418678073123536,6581,7344
2014-06-01,6,36761,3577,0.09730420826419303,5629,6076
2014-01-01,1,26143,2545,0.0973491948131431,3910,4429
2013-08-01,6,29457,2398,0.08140679634721798,3535,4071
2013-08-01,1,29457,3155,0.10710527209152323,4825,5254
2013-08-01,3,29457,2167,0.0735648572495502,3083,3478
2013-07-01,9,31600,3381,0.10699367088607595,5193,5681
2013-05-01,14,33976,4932,0.14516129032258066,7885,8589
2013-12-01,0,19946,19946,1.0,24716,31955
2013-11-01,4,19920,2187,0.10978915662650603,3327,3718
2013-11-01,3,19920,1695,0.08509036144578314,2483,2822
2013-11-01,12,19920,2479,0.12444779116465864,3872,4330
2013-01-01,2,48648,10157,0.2087855615852656,18656,20231
2014-03-01,3,34504,3778,0.10949455135636448,5945,6415
2013-11-01,10,19920,2388,0.11987951807228915,3664,4156
2014-03-01,9,34504,3526,0.10219105031300718,5424,5805
2013-11-01,6,19920,2181,0.10948795180722891,3363,3725
2013-11-01,8,19920,2441,0.12254016064257028,3721,4082
2013-01-01,14,48648,9527,0.19583538891629665,17151,18682
2014-03-01,5,34504,4033,0.11688499884071411,6332,6876
2013-01-01,20,48648,10131,0.2082511100148002,18920,20587
2013-01-01,17,48648,9246,0.19005920078934385,16862,18154
2013-01-01,16,48648,9274,0.1906347640190758,16605,17922
2013-01-01,22,48648,9162,0.188332511100148,16155,17376
2013-01-01,23,48648,8798,0.18085018911363263,15322,16527
2013-01-01,4,48648,9261,0.19036753823384311,16850,18356
2013-11-01,0,19920,19920,1.0,24551,31617
2013-10-01,10,24382,3081,0.1263637109342958,4736,5282
2013-06-01,14,31977,4229,0.13225130562591864,6726,7385
2014-02-01,4,24531,2584,0.10533610533610534,3972,4334
2014-11-01,0,35636,35636,1.0,48563,56474
2013-10-01,9,24382,2951,0.12103190878516938,4710,5169
2013-04-01,13,35768,4951,0.13841981659583985,7869,8590
2013-10-01,5,24382,2636,0.10811254203920925,3899,4368
2014-02-01,6,24531,2801,0.11418205535852595,4344,4793
2014-07-01,4,43992,3989,0.09067557737770504,6050,6581
2013-06-01,9,31977,3527,0.11029802670669543,5356,5973
2013-03-01,17,43382,6636,0.15296666820340232,10532,11571
2014-07-01,5,43992,4176,0.09492635024549918,6433,6969
2014-07-01,1,43992,6177,0.14041189307146754,9859,10504
2013-12-01,8,19946,2287,0.11465958086834453,3482,3836
2013-03-01,2,43382,5960,0.13738416854916785,9336,10152
2013-04-01,15,35768,5349,0.1495470811898904,8785,9547
2013-12-01,4,19946,2068,0.10367993582673218,3190,3475
2013-04-01,19,35768,4737,0.13243681503019458,7523,8205
2013-06-01,3,31977,2922,0.09137817806548457,4221,4727
2013-04-01,2,35768,4376,0.12234399463207336,6573,7235
2013-04-01,6,35768,3944,0.11026615969581749,5892,6590
2013-04-01,8,35768,2995,0.08373406396779244,4283,4835
2013-12-01,10,19946,2320,0.1163140479294094,3539,3933
2013-06-01,1,31977,4182,0.13078149920255183,6381,6930
2013-02-01,22,43339,6662,0.15371835990678143,10753,11581
2013-06-01,0,31977,31977,1.0,42711,51480
2013-04-01,7,35768,3330,0.093099977633639,4823,5442
2013-06-01,17,31977,3734,0.11677142946492791,5648,6235
2013-04-01,16,35768,5329,0.14898792216506374,8574,9389
2013-02-01,18,43339,7737,0.17852280855580424,12855,13979
2013-03-01,1,43382,6283,0.14482965285141303,9745,10623
2013-03-01,16,43382,6787,0.15644737448711446,11037,11963
2013-02-01,3,43339,6714,0.15491820300422252,11028,12016
2013-03-01,15,43382,6262,0.14434558111659213,10128,11034
2013-03-01,12,43382,6461,0.14893273707989488,10332,11498
2013-12-01,2,19946,1674,0.08392660182492731,2516,2842
2013-11-01,1,19920,1877,0.09422690763052209,2776,3105
2013-04-01,14,35768,4921,0.13758107805859987,7778,8504
2013-12-01,3,19946,2068,0.10367993582673218,3093,3485
2013-12-01,7,19946,2296,0.11511079915772586,3618,3998
2013-03-01,19,43382,6666,0.15365819925314647,10716,11743
2013-12-01,9,19946,2188,0.1096961796851499,3313,3716
2013-02-01,2,43339,6983,0.16112508364290823,11217,12286
2013-11-01,5,19920,2135,0.10717871485943775,3337,3676
2013-10-01,1,24382,2275,0.09330653760971208,3353,3726
2013-02-01,16,43339,7191,0.16592445603267264,11894,12843
2013-03-01,6,43382,5065,0.1167534922318012,7800,8579
2013-03-01,4,43382,5617,0.12947766354709325,8608,9501
2013-03-01,3,43382,5461,0.12588170208842378,8384,9228
2013-03-01,20,43382,5940,0.13692314784933843,9359,10205
2013-03-01,9,43382,4072,0.09386381448527038,5875,6614
2013-01-01,12,48648,9130,0.18767472455188292,16313,18487
2013-03-01,5,43382,5475,0.12620441657830436,8355,9197
2013-06-01,7,31977,2761,0.08634330925352597,3987,4709
2013-03-01,11,43382,4899,0.112927020423217,7267,8317
2013-03-01,8,43382,4420,0.10188557466230233,6507,7264
2013-10-01,3,24382,2144,0.0879337215979001,3127,3656
2014-07-01,2,43992,4800,0.10911074740861974,7313,7978
2014-02-01,2,24531,2693,0.1097794627206392,4208,4629
2013-02-01,8,43339,6123,0.14128152472369,9741,10812
2013-10-01,7,24382,2734,0.11213190058239685,4281,4712
2013-02-01,7,43339,6028,0.13908950368028797,9662,10687
2013-02-01,5,43339,6426,0.14827291815685642,10510,11483
2013-02-01,12,43339,6242,0.1440273195043725,9970,11212
2013-02-01,15,43339,7025,0.16209418768314912,11739,12738
2014-03-01,1,34504,4516,0.13088337584048226,7249,7740
2013-04-01,0,35768,35768,1.0,47673,57329
2013-02-01,9,43339,5231,0.12069960082143104,8111,9022
2013-10-01,6,24382,2628,0.10778443113772455,4132,4540
2013-02-01,11,43339,6196,0.14296591984125154,9806,11229
2013-06-01,10,31977,3682,0.11514526065609657,5678,6282
2013-01-01,3,48648,9501,0.1953009373458313,17263,18842
2013-03-01,13,43382,6148,0.14171776312756443,9776,10651
2013-04-01,12,35768,5143,0.1437877432341758,8170,9047
