date_key,full_date,year,month,year_month,events_on_date,weighted_events_on_date,bookings_made_on_date,checkins_on_date,checkouts_on_date,booking_value_proxy_for_checkins,package_checkins,avg_stay_nights_for_checkins,avg_lead_days_for_checkins
2014-05-15,2014-05-15,2014,5,2014-05,64795,93849,5560,4686,4039,5342,656,2.3647033717456254,32.79342723004695
2014-05-16,2014-05-16,2014,5,2014-05,56275,81730,5106,5946,4635,6668,722,2.221997981836529,35.642160161507405
2014-05-17,2014-05-17,2014,5,2014-05,43035,63724,3360,5162,4399,5727,565,2.207283998450213,33.595233481883355
2014-05-18,2014-05-18,2014,5,2014-05,54927,80843,4171,4238,6604,4753,515,2.605710240679566,31.29643615765872
2014-12-06,2014-12-06,2014,12,2014-12,71053,97725,4808,6367,5570,7015,648,2.0645515941573738,31.140880503144654
2014-12-08,2014-12-08,2014,12,2014-12,101601,140515,6904,5633,5333,6332,699,2.4335167761406002,23.318884348907442
2014-12-10,2014-12-10,2014,12,2014-12,102554,139545,7305,5374,5097,6005,631,2.244882768887235,25.05676530802159
2014-10-11,2014-10-11,2014,10,2014-10,67042,94001,4392,7997,6429,8880,883,2.0951606852569715,33.66658329164582
2014-10-13,2014-10-13,2014,10,2014-10,100638,140209,7362,5857,7784,6505,648,2.4162540549769504,27.63398804440649
2014-10-14,2014-10-14,2014,10,2014-10,99247,138043,7425,5427,5341,6022,595,2.3095632946379214,26.674345742720234
2014-11-08,2014-11-08,2014,11,2014-11,67582,95707,4486,7151,5911,8004,853,2.1248776394909803,31.06237762237762
2014-11-11,2014-11-11,2014,11,2014-11,97299,137082,7109,5065,5415,5667,602,2.3020730503455082,24.286137440758292
2014-06-19,2014-06-19,2014,6,2014-06,78271,112611,5861,5551,5017,6273,722,2.306791569086651,35.47063063063063
2014-06-21,2014-06-21,2014,6,2014-06,57950,83786,4047,5560,5310,6113,553,2.1938848920863308,35.493613959345204
2014-06-22,2014-06-22,2014,6,2014-06,69374,100686,4886,5068,7490,5666,598,2.6570639305445933,34.20599842146803
2014-06-24,2014-06-24,2014,6,2014-06,86736,124704,6440,4912,4576,5416,504,2.2837947882736156,31.230502952555486
2014-07-25,2014-07-25,2014,7,2014-07,80334,113447,5998,7788,6215,8592,804,2.2393425783256293,34.03814049056119
2014-07-27,2014-07-27,2014,7,2014-07,81507,117694,5390,5857,8532,6560,703,2.5982584941096123,34.41181492231518
2014-08-19,2014-08-19,2014,8,2014-08,103683,149216,7611,5909,5601,6528,619,2.3256050093078353,31.299593771157753
2014-08-22,2014-08-22,2014,8,2014-08,78939,113799,6074,8238,7005,9134,896,2.150279193979121,34.28994657600777
2014-08-23,2014-08-23,2014,8,2014-08,65507,95731,4450,6954,6766,7716,762,2.22073626689675,33.175945907063735
2013-07-12,2013-07-12,2013,7,2013-07,31784,53481,3005,3871,3351,4356,485,2.2314647377938517,33.54005167958656
2013-07-13,2013-07-13,2013,7,2013-07,27855,48319,2351,3346,3090,3772,426,2.2513448894202033,35.55827854154214
2013-07-15,2013-07-15,2013,7,2013-07,40136,67300,3539,2991,2994,3428,437,2.5921096623202944,30.128050819124038
2013-04-18,2013-04-18,2013,4,2013-04,31323,53860,2997,2536,2307,2975,439,2.270110410094637,22.25
2013-04-22,2013-04-22,2013,4,2013-04,36193,62682,3328,2302,2135,2646,344,2.499131190269331,20.117289313640313
2013-04-23,2013-04-23,2013,4,2013-04,30437,52326,2813,2191,1873,2492,301,2.292560474669101,20.38658146964856
2013-04-25,2013-04-25,2013,4,2013-04,29605,50895,2543,2740,2295,3284,544,2.452189781021898,25.491785323110623
2013-04-29,2013-04-29,2013,4,2013-04,34132,58538,3373,2345,2418,2695,350,2.408102345415778,21.8136460554371
2014-10-18,2014-10-18,2014,10,2014-10,62133,87560,4281,7101,6365,7788,687,2.121391353330517,32.43895226024504
2014-10-19,2014-10-19,2014,10,2014-10,76252,107241,5106,5552,10159,6241,689,2.6795749279538903,30.40046838407494
2014-10-20,2014-10-20,2014,10,2014-10,97542,135540,7440,5959,5710,6702,743,2.5103205235777817,26.729942933870426
2014-06-27,2014-06-27,2014,6,2014-06,67699,96748,5352,7036,5849,7790,754,2.1918703808982376,34.68609610463463
2014-06-29,2014-06-29,2014,6,2014-06,70317,102257,4737,5330,7933,5929,599,2.495497185741088,34.09551510602365
2014-06-30,2014-06-30,2014,6,2014-06,82116,117959,6073,5174,5419,5724,550,2.392732895245458,32.91012756088133
2014-04-14,2014-04-14,2014,4,2014-04,66068,93984,5454,4135,3668,4836,701,2.56590084643289,27.659250302297462
2014-04-16,2014-04-16,2014,4,2014-04,63810,91503,5501,4089,3720,4745,656,2.482514062117877,30.69251467710372
2014-04-17,2014-04-17,2014,4,2014-04,55910,80009,4882,5221,4019,6229,1008,2.507757134648535,34.39030465606438
2014-04-18,2014-04-18,2014,4,2014-04,50951,73308,4370,6361,4466,7487,1126,2.3735261751296965,32.216577540106954
2014-04-19,2014-04-19,2014,4,2014-04,41812,60533,3068,4260,4708,4888,628,2.344131455399061,31.779290913359944
2014-04-20,2014-04-20,2014,4,2014-04,48196,69702,3549,3356,6420,3918,562,2.7094755661501786,31.35111773472429
2014-04-21,2014-04-21,2014,4,2014-04,64789,92898,5224,3853,4716,4420,567,2.581884246042045,27.67998961847911
2014-04-23,2014-04-23,2014,4,2014-04,66827,95520,5534,4029,3458,4600,571,2.3752792256142965,27.512037726482998
2014-12-16,2014-12-16,2014,12,2014-12,103983,141668,7054,5008,4695,5525,517,2.2270367412140577,25.72903354632588
2014-12-17,2014-12-17,2014,12,2014-12,110186,147959,7177,5471,5043,6038,567,2.290074940595869,26.809366995975118
2014-12-19,2014-12-19,2014,12,2014-12,86493,118159,6186,8360,6064,9238,878,2.387200956937799,36.795740098121335
2014-12-20,2014-12-20,2014,12,2014-12,74023,102347,4862,8766,6287,9695,929,2.490645676477299,41.08327629477527
2014-12-21,2014-12-21,2014,12,2014-12,72224,98630,4613,6985,8785,7763,778,2.6979241231209734,39.75307934689201
2013-02-12,2013-02-12,2013,2,2013-02,34341,60357,3083,1569,1417,1755,186,2.1032504780114722,9.995530012771392
2013-02-13,2013-02-13,2013,2,2013-02,33409,58638,2957,1703,1624,1941,238,2.1015854374633,11.065294117647058
2013-02-16,2013-02-16,2013,2,2013-02,27032,49086,2182,2271,1830,2536,265,2.0070453544693967,13.183619550858653
2013-02-18,2013-02-18,2013,2,2013-02,35634,63432,3060,2024,2268,2324,300,2.4985177865612647,12.587450592885375
2013-02-19,2013-02-19,2013,2,2013-02,33939,59632,3110,1850,1605,2069,219,2.14,11.164324324324324
2013-02-20,2013-02-20,2013,2,2013-02,33938,59409,3110,1886,1767,2163,277,2.110286320254507,11.973488865323436
2013-02-23,2013-02-23,2013,2,2013-02,27317,49350,2125,1944,1869,2195,251,2.0560699588477367,13.960390946502057
2014-08-28,2014-08-28,2014,8,2014-08,90187,129398,6539,6457,5579,7337,880,2.390428991791854,35.824167312161116
2014-08-29,2014-08-29,2014,8,2014-08,81513,117730,6251,9470,6551,10709,1239,2.3036958817317847,33.4657230379212
2014-08-30,2014-08-30,2014,8,2014-08,63755,92701,4233,8893,6543,9793,900,2.1137973687169684,32.74907209537735
2014-05-26,2014-05-26,2014,5,2014-05,65011,93290,5068,3797,7161,4359,562,2.584672109560179,32.42781875658588
2014-05-27,2014-05-27,2014,5,2014-05,72792,104721,5936,4243,3719,4758,515,2.3763846335140233,26.875795427763375
2014-05-28,2014-05-28,2014,5,2014-05,74118,105958,6039,4237,3892,4848,611,2.356620250177012,31.886240264337975
2014-05-30,2014-05-30,2014,5,2014-05,61844,88017,5281,5487,4608,6174,687,2.209768543830873,33.94677360554138
2014-05-31,2014-05-31,2014,5,2014-05,50981,73464,3864,4916,4552,5480,564,2.1763628966639543,33.24659206510682
2014-06-01,2014-06-01,2014,6,2014-06,60893,87403,4470,4102,6539,4623,521,2.823256947830327,32.60326749573275
2014-06-02,2014-06-02,2014,6,2014-06,74907,106897,6212,4332,4102,4907,575,2.5500923361034165,27.716462710690372
2014-06-03,2014-06-03,2014,6,2014-06,78966,113499,6341,3978,3665,4479,501,2.3300653594771243,26.943633618520384
2013-12-26,2013-12-26,2013,12,2013-12,28719,42271,2353,4072,2798,4898,826,2.994351669941061,50.78610019646366
2013-12-28,2013-12-28,2013,12,2013-12,25997,39364,2005,4077,3584,4808,731,2.7920039244542556,55.56073619631902
2013-12-30,2013-12-30,2013,12,2013-12,32378,47319,2770,3534,4013,4167,633,2.7057159026598754,54.59269742428531
2014-01-01,2014-01-01,2014,1,2014-01,29018,43677,2172,2724,4072,3186,462,2.67143906020558,45.870363569592364
2014-01-05,2014-01-05,2014,1,2014-01,34819,52641,2512,2067,3807,2367,300,2.8050314465408803,33.7218190614417
2014-01-09,2014-01-09,2014,1,2014-01,40542,59668,3669,2239,2214,2677,438,2.532827154979902,31.603039785426912
2014-01-10,2014-01-10,2014,1,2014-01,37234,54791,3353,2517,2497,2993,476,2.457687723480334,31.067143424711958
2014-11-18,2014-11-18,2014,11,2014-11,93469,130768,6892,5031,4646,5622,591,2.10494931425164,22.478330019880715
2014-11-20,2014-11-20,2014,11,2014-11,86575,120800,6457,5866,5447,6744,878,2.288441868394136,31.1537936913896
2014-11-21,2014-11-21,2014,11,2014-11,78035,108390,6268,7956,6030,9062,1106,2.241830065359477,33.443787726358146
2014-11-23,2014-11-23,2014,11,2014-11,85821,120995,5680,5387,9042,6112,725,2.597364024503434,34.26656766289215
2013-05-01,2013-05-01,2013,5,2013-05,35292,60534,3243,2566,2390,3024,458,2.4742790335151987,25.56123244929797
2013-05-05,2013-05-05,2013,5,2013-05,29450,52570,2521,2272,3902,2608,336,2.640845070422535,25.921214788732396
2013-05-06,2013-05-06,2013,5,2013-05,34612,59673,3242,2169,2609,2514,345,2.4444444444444446,21.795664206642066
2013-05-07,2013-05-07,2013,5,2013-05,35471,60734,3517,2140,2022,2456,316,2.329906542056075,22.099532710280375
2013-05-09,2013-05-09,2013,5,2013-05,31357,53733,3077,2571,2242,3033,462,2.3325554259043173,27.870766835344494
2013-05-11,2013-05-11,2013,5,2013-05,25954,45594,2227,2462,2478,2766,304,2.2615759545085297,26.958130081300812
2013-05-13,2013-05-13,2013,5,2013-05,36477,62267,3611,2531,2250,2930,399,2.447649150533386,21.97786561264822
2014-08-03,2014-08-03,2014,8,2014-08,86069,124552,5491,6264,8660,6995,731,2.6090357598978287,33.829794028420885
2014-08-04,2014-08-04,2014,8,2014-08,105675,152237,7508,6315,6517,7092,777,2.6144101346001585,31.6701504354711
2014-12-22,2014-12-22,2014,12,2014-12,95731,130846,6436,6733,6583,7524,791,2.7469181642655576,39.178306092124814
2013-02-26,2013-02-26,2013,2,2013-02,35503,61783,3232,1687,1532,1898,211,2.098399525785418,11.840545346769414
2013-02-27,2013-02-27,2013,2,2013-02,34513,59745,3218,1806,1746,2066,260,2.1456256921373202,12.80232558139535
2013-02-28,2013-02-28,2013,2,2013-02,32009,55375,3064,2005,1883,2347,342,2.251870324189526,14.711720698254364
2013-03-03,2013-03-03,2013,3,2013-03,35528,64033,2751,1842,2817,2154,312,2.7790445168295332,14.972840847365562
2013-03-04,2013-03-04,2013,3,2013-03,36296,63711,3371,1968,1679,2296,328,2.478150406504065,13.707825203252032
2013-03-08,2013-03-08,2013,3,2013-03,30036,51795,2926,2694,2279,3132,438,2.2342242019302154,16.80876346082436
2013-03-09,2013-03-09,2013,3,2013-03,28866,52197,2298,2319,2029,2646,327,2.3083225528244933,17.52565761103924
2013-03-10,2013-03-10,2013,3,2013-03,33980,61221,2590,2071,3106,2446,375,2.7682279092225976,16.831965234186384
2014-06-05,2014-06-05,2014,6,2014-06,72665,103764,6041,4734,4292,5413,679,2.2953105196451205,31.85484893302345
2014-06-08,2014-06-08,2014,6,2014-06,66877,96469,4748,4412,6668,4949,537,2.662737987307344,32.571299025164365
2014-06-10,2014-06-10,2014,6,2014-06,81083,116587,6307,4294,3925,4793,499,2.316488122962273,27.78737773637634
2014-01-12,2014-01-12,2014,1,2014-01,39007,58988,2890,2033,2954,2424,391,2.927693064436793,28.65764879488441
2014-01-15,2014-01-15,2014,1,2014-01,42188,61796,3797,2183,2172,2519,336,2.412276683463124,25.62878093492209
2014-01-18,2014-01-18,2014,1,2014-01,32623,49021,2419,2692,2274,3119,427,2.320950965824666,27.73318468970643
2014-01-20,2014-01-20,2014,1,2014-01,43490,63336,3770,2262,2661,2673,411,2.628205128205128,22.990712074303406
2014-11-25,2014-11-25,2014,11,2014-11,95025,132588,7119,5529,5060,6189,660,2.3856031832157716,30.73575691806837
2014-11-26,2014-11-26,2014,11,2014-11,90996,127841,6748,7939,5479,8971,1032,2.5203426124197,36.59067422810334
2014-11-27,2014-11-27,2014,11,2014-11,73428,103043,5108,8049,5291,9222,1173,2.302397813392968,36.055300111842925
2014-11-30,2014-11-30,2014,11,2014-11,87502,122825,5768,4653,10960,5177,524,2.6548463356973997,30.050311760911633
2014-08-09,2014-08-09,2014,8,2014-08,70393,101989,4832,7439,6680,8154,715,2.2419680064524803,35.82963560575501
2014-08-13,2014-08-13,2014,8,2014-08,106200,152262,7781,6445,6169,7195,750,2.359658650116369,34.67499611981996
2013-05-18,2013-05-18,2013,5,2013-05,24817,43212,2122,3036,2665,3455,419,2.2002635046113306,30.353658536585368
2013-05-19,2013-05-19,2013,5,2013-05,31287,55423,2626,2521,3669,2887,366,2.6045220150733837,27.353571428571428
2013-05-21,2013-05-21,2013,5,2013-05,35565,61280,3297,2415,2253,2758,343,2.2770186335403726,24.7920463960232
2013-05-22,2013-05-22,2013,5,2013-05,35094,61147,3447,2570,2469,2935,365,2.2937743190661477,25.885603112840467
2013-05-23,2013-05-23,2013,5,2013-05,32043,56198,3045,2941,2679,3505,564,2.3883032981978918,30.487249234954096
2013-05-24,2013-05-24,2013,5,2013-05,27824,47398,2804,4000,2946,4743,743,2.382,31.734867433716857
2013-05-27,2013-05-27,2013,5,2013-05,33275,57542,2940,2288,3990,2664,376,2.5179195804195804,28.674388111888113
2013-05-28,2013-05-28,2013,5,2013-05,35787,61023,3427,2565,2248,2943,378,2.353606237816764,25.288888888888888
2013-05-31,2013-05-31,2013,5,2013-05,27753,47091,2840,3207,2690,3672,465,2.304957904583723,30.2014343623324
2014-01-27,2014-01-27,2014,1,2014-01,41049,59852,3553,2311,2133,2713,402,2.556901774123756,20.408481176979663
2014-01-28,2014-01-28,2014,1,2014-01,41984,61159,3653,2064,1947,2397,333,2.366763565891473,22.409597673291323
2014-01-30,2014-01-30,2014,1,2014-01,36367,53086,3350,2386,2269,2856,470,2.47024308466052,31.178616352201256
2014-01-31,2014-01-31,2014,1,2014-01,33237,47606,3071,2976,2571,3503,527,2.3501344086021505,31.58218487394958
2014-02-03,2014-02-03,2014,2,2014-02,41230,60028,3755,2456,2188,2935,479,2.617671009771987,24.600651996740016
2014-02-04,2014-02-04,2014,2,2014-02,42326,61253,3821,2247,1924,2593,346,2.3693813974187807,22.886019590382904
2014-02-05,2014-02-05,2014,2,2014-02,41520,61109,3671,2217,2116,2601,384,2.397834912043302,24.87815884476534
2014-06-13,2014-06-13,2014,6,2014-06,64156,91524,5412,6307,5200,6987,680,2.1679086729031236,34.3313769035533
2014-06-16,2014-06-16,2014,6,2014-06,81818,116255,6240,5237,4496,5870,633,2.4764177964483483,30.454840557571128
2014-09-11,2014-09-11,2014,9,2014-09,95632,136682,7368,6003,5548,6776,773,2.2815259037148095,32.867855357440426
2013-08-12,2013-08-12,2013,8,2013-08,38045,53640,3536,3433,3360,4015,582,2.622778910573842,33.75349650349651
2013-08-14,2013-08-14,2013,8,2013-08,35912,51564,3477,3271,3163,3714,443,2.4102720880464688,34.94435952308163
2013-08-15,2013-08-15,2013,8,2013-08,33316,47103,3153,3571,3421,4164,593,2.4267712125455057,35.15130288596245
2013-08-16,2013-08-16,2013,8,2013-08,29424,41300,3009,4163,3591,4724,561,2.3350948834974776,33.6828447861605
2013-08-19,2013-08-19,2013,8,2013-08,35277,49905,3417,3238,3106,3766,528,2.5358245830759727,31.176343421865347
2013-08-21,2013-08-21,2013,8,2013-08,35990,51681,3325,3141,3091,3589,448,2.3403374721426298,32.062400509391914
2013-08-24,2013-08-24,2013,8,2013-08,25682,37230,2293,3402,3286,3855,453,2.2751322751322753,35.616877389003236
2013-08-25,2013-08-25,2013,8,2013-08,31068,44900,2555,2899,4444,3350,451,2.7185236288375303,35.82545705415661
2013-08-28,2013-08-28,2013,8,2013-08,35903,51030,3459,2901,2684,3293,392,2.341261633919338,32.42812823164426
2014-03-20,2014-03-20,2014,3,2014-03,56068,80703,4616,3821,3580,4469,648,2.386286312483643,26.47160429207014
2014-03-24,2014-03-24,2014,3,2014-03,63199,90695,5145,3672,3258,4319,647,2.4948257080610023,23.487745098039216
2014-03-25,2014-03-25,2014,3,2014-03,62015,89588,4789,3292,3044,3705,413,2.297691373025516,22.392466585662213
2014-03-26,2014-03-26,2014,3,2014-03,64958,92776,5330,3637,3333,4187,550,2.318669232884245,25.296204620462046
2014-03-27,2014-03-27,2014,3,2014-03,57118,82051,4670,3895,3692,4547,652,2.371758664955071,27.887034659820284
2013-11-18,2013-11-18,2013,11,2013-11,32200,46913,3019,2511,2400,2905,394,2.4874551971326166,25.349402390438247
2013-03-28,2013-03-28,2013,3,2013-03,30311,52433,3022,2977,2570,3553,576,2.5256970104131677,22.716829022505877
2014-08-15,2014-08-15,2014,8,2014-08,82311,118258,6320,8650,7261,9484,834,2.194566473988439,33.511966701352755
2014-08-17,2014-08-17,2014,8,2014-08,83839,121982,5545,6345,9964,7042,697,2.627580772261623,33.57401860318461
2013-03-29,2013-03-29,2013,3,2013-03,26867,47003,2539,3688,2650,4382,694,2.332700650759219,22.356019522776574
2013-03-30,2013-03-30,2013,3,2013-03,23679,42512,1973,2537,2765,2894,357,2.2814347654710287,21.988170347003155
2013-04-01,2013-04-01,2013,4,2013-04,34396,59589,3171,2303,2741,2668,365,2.606600086843248,20.284411636995223
2013-04-02,2013-04-02,2013,4,2013-04,37772,65562,3459,2172,2045,2535,363,2.3669429097605894,18.43232044198895
2013-04-04,2013-04-04,2013,4,2013-04,32687,56283,3125,2541,2221,2986,445,2.297914207005116,21.605905511811024
2013-04-06,2013-04-06,2013,4,2013-04,26196,45939,2163,2530,2453,2890,360,2.267193675889328,22.363241106719368
2013-04-07,2013-04-07,2013,4,2013-04,31496,56402,2551,2059,3486,2391,332,2.7707625060709082,20.73482272948033
2013-04-09,2013-04-09,2013,4,2013-04,35523,61976,3246,2181,1891,2532,351,2.324621733149931,19.358092618065108
2013-04-11,2013-04-11,2013,4,2013-04,31212,53623,2933,2404,2336,2847,443,2.3756239600665556,23.280482729920934
2013-04-12,2013-04-12,2013,4,2013-04,28182,48204,2725,3076,2577,3537,461,2.1992847854356308,22.56957087126138
2013-08-29,2013-08-29,2013,8,2013-08,29182,41510,2734,3303,2891,3876,573,2.3651226158038146,35.4377838328792
2013-08-31,2013-08-31,2013,8,2013-08,24140,34950,2048,4259,3222,4837,578,2.1826719887297488,34.066447522892695
2013-09-01,2013-09-01,2013,9,2013-09,26486,38284,2223,2925,4261,3306,381,2.390769230769231,32.70700854700855
2013-09-02,2013-09-02,2013,9,2013-09,33910,49224,2886,2338,4772,2677,339,2.5697177074422584,33.55945252352438
2013-09-03,2013-09-03,2013,9,2013-09,36683,52640,3556,2613,2482,3008,395,2.5606582472254114,31.869831546707506
2013-09-04,2013-09-04,2013,9,2013-09,35917,51165,3564,2540,2224,2876,336,2.3751968503937007,30.332545311268717
2013-09-08,2013-09-08,2013,9,2013-09,31088,45365,2614,2521,3926,2878,357,2.7477191590638634,32.522619047619045
2013-09-10,2013-09-10,2013,9,2013-09,33924,49361,3019,2582,2350,2904,322,2.3532145623547636,29.09178931061193
2013-09-11,2013-09-11,2013,9,2013-09,33499,47910,3023,2604,2546,2905,301,2.258832565284178,32.486559139784944
2014-02-06,2014-02-06,2014,2,2014-02,45133,66231,3814,2553,2338,3123,570,2.421464943204074,29.405956112852664
2014-02-08,2014-02-08,2014,2,2014-02,34831,51066,2703,2765,2431,3228,463,2.457866184448463,33.299457504520795
2014-02-13,2014-02-13,2014,2,2014-02,40117,58293,3630,3026,2475,3702,676,2.466953073364177,30.551256613756614
2014-02-14,2014-02-14,2014,2,2014-02,34433,49863,3384,4479,2900,5359,880,2.317258316588524,30.506476105404197
2014-02-15,2014-02-15,2014,2,2014-02,33345,49649,2642,3645,2994,4322,677,2.5023319615912207,33.91767288693743
2014-02-16,2014-02-16,2014,2,2014-02,37522,55879,2909,2853,4180,3466,613,2.8517350157728707,30.652875175315568
2014-02-18,2014-02-18,2014,2,2014-02,43398,64144,3809,2497,2341,2924,427,2.4164997997597117,24.485782939527432
2013-01-08,2013-01-08,2013,1,2013-01,35631,62868,3152,315,93,329,14,1.7301587301587302,0.5523809523809524
2013-01-10,2013-01-10,2013,1,2013-01,32345,57063,2810,543,381,582,39,1.7679558011049723,1.3284132841328413
2013-01-11,2013-01-11,2013,1,2013-01,30030,52658,2737,679,518,715,36,1.7702503681885124,1.7463126843657817
2013-01-13,2013-01-13,2013,1,2013-01,31215,56643,2361,630,750,700,70,2.3746031746031746,2.607936507936508
2013-01-14,2013-01-14,2013,1,2013-01,35968,63624,3126,921,502,1013,92,2.1161780673181325,3.1248642779587406
2013-01-15,2013-01-15,2013,1,2013-01,34562,60285,3231,900,633,977,77,1.8344444444444445,3.3422222222222224
2013-01-19,2013-01-19,2013,1,2013-01,24392,43929,1977,1243,922,1332,89,1.7731295253419148,4.301127214170692
2013-01-20,2013-01-20,2013,1,2013-01,30705,56330,2417,1029,1367,1103,74,2.239067055393586,4.804284323271665
2014-09-12,2014-09-12,2014,9,2014-09,84108,120186,6696,7950,6410,8818,868,2.2123270440251575,34.33916215876211
2014-09-14,2014-09-14,2014,9,2014-09,83702,121098,5290,5741,9096,6495,754,2.6390872670266505,33.845040962175354
2013-06-18,2013-06-18,2013,6,2013-06,38840,65883,3411,2778,2485,3150,372,2.2796976241900646,26.80482535109831
2013-06-23,2013-06-23,2013,6,2013-06,33334,59231,2666,2774,4178,3158,384,2.7040374909877434,30.47043979812545
2013-06-26,2013-06-26,2013,6,2013-06,36320,61792,3195,2831,2680,3201,370,2.3161427057576827,29.012371862849065
2013-06-30,2013-06-30,2013,6,2013-06,32063,56799,2611,3093,4380,3513,420,2.639508567733592,33.14936954413191
2013-11-21,2013-11-21,2013,11,2013-11,26656,38386,2642,2778,2547,3343,565,2.409647228221742,32.29337652987761
2013-11-22,2013-11-22,2013,11,2013-11,24173,34993,2395,3332,2860,3932,600,2.368847539015606,33.56962785114045
2013-11-27,2013-11-27,2013,11,2013-11,27113,38894,2676,3244,2392,3903,659,2.758631319358816,42.35326757090012
2013-11-29,2013-11-29,2013,11,2013-11,23504,33974,2262,3247,2739,3761,514,2.1730828457037266,37.32275947028026
2013-11-30,2013-11-30,2013,11,2013-11,21616,31415,1777,2481,3498,2850,369,2.316404675534059,39.417338709677416
2013-12-02,2013-12-02,2013,12,2013-12,33550,48937,3336,2313,2292,2713,400,2.636835278858625,24.722006052745353
2013-12-03,2013-12-03,2013,12,2013-12,30179,43453,2967,2153,1974,2480,327,2.374361356247097,25.222015791918253
2013-12-04,2013-12-04,2013,12,2013-12,29609,42676,2890,2174,1981,2565,391,2.4484820607175712,31.29576816927323
2013-12-06,2013-12-06,2013,12,2013-12,26298,37560,2717,3048,2515,3614,566,2.2696850393700787,36.65287356321839
2013-09-14,2013-09-14,2013,9,2013-09,26234,38227,2160,3234,2786,3645,411,2.2937538651824365,39.92205381998144
2013-09-16,2013-09-16,2013,9,2013-09,39439,57887,3565,2905,2984,3323,418,2.491910499139415,33.91910499139415
2013-09-17,2013-09-17,2013,9,2013-09,36668,53420,3487,2720,2553,3065,345,2.332720588235294,32.523354174328794
2013-09-21,2013-09-21,2013,9,2013-09,25046,36686,2062,3326,2942,3763,437,2.3042693926638607,39.00631389055923
2013-09-22,2013-09-22,2013,9,2013-09,29917,43330,2339,2808,4550,3196,388,2.65491452991453,35.02600641254008
2013-09-26,2013-09-26,2013,9,2013-09,31411,44817,3158,3156,2887,3643,487,2.2306717363751583,35.23542458808618
2013-09-27,2013-09-27,2013,9,2013-09,27490,39434,2846,4031,3289,4530,499,2.1734061027040434,35.85728468602631
2013-09-28,2013-09-28,2013,9,2013-09,23840,34323,1999,3164,3088,3553,389,2.1257901390644753,35.60777496839444
2014-04-10,2014-04-10,2014,4,2014-04,60388,86426,4995,4115,3610,4726,611,2.3654921020656134,28.10136120563928
2014-04-13,2014-04-13,2014,4,2014-04,53810,77146,3914,4027,5877,4761,734,2.831884777750186,32.15992053637944
2014-12-11,2014-12-11,2014,12,2014-12,91144,124462,6728,5775,5389,6546,771,2.263896103896104,29.52469242765552
2014-12-13,2014-12-13,2014,12,2014-12,70487,96982,4814,6672,5684,7314,642,2.0520083932853717,31.234032983508246
2014-12-14,2014-12-14,2014,12,2014-12,84202,115975,5711,5030,9004,5722,692,2.690258449304175,30.588539594110625
2014-09-17,2014-09-17,2014,9,2014-09,103020,148210,7589,6030,5563,6721,691,2.3165837479270315,32.66135986733001
2014-09-19,2014-09-19,2014,9,2014-09,80726,115709,6545,8363,6638,9212,849,2.157240224799713,35.94043774668102
2014-09-20,2014-09-20,2014,9,2014-09,66899,96469,4478,7307,6397,7997,690,2.119063911317914,35.55955640744797
2014-09-22,2014-09-22,2014,9,2014-09,101936,144901,7516,6037,6015,6764,727,2.434156037767103,29.612491716368456
2013-01-26,2013-01-26,2013,1,2013-01,25891,46953,2043,1291,1148,1416,125,1.8931061192873742,6.613477924089853
2013-01-27,2013-01-27,2013,1,2013-01,31847,58530,2438,1179,1685,1372,193,2.5826972010178118,7.506372132540357
