year_month,lead_time_bucket,stay_length_bucket,party_segment,users,events,weighted_events,bookings,booking_row_rate,booking_weighted_event_rate,package_share,mobile_share,booking_value_proxy_total,sessions,booking_sessions,session_booking_rate
2014-08-01,8_30,15_plus,family_with_children,118,421,592,14,0.0332541567695962,0.02364864864864865,0.14285714285714285,0.12826603325415678,16,148,20,0.13513513513513514
2014-08-01,same_next_day,15_plus,couple,96,184,252,4,0.021739130434782608,0.015873015873015872,0.25,0.15217391304347827,5,102,16,0.1568627450980392
2014-08-01,same_next_day,15_plus,solo,87,230,308,11,0.04782608695652174,0.03571428571428571,0.0,0.06086956521739131,11,107,19,0.17757009345794392
2014-08-01,2_7,15_plus,family_with_children,69,192,261,6,0.03125,0.022988505747126436,0.0,0.1875,6,80,14,0.175
2014-08-01,91_plus,15_plus,family_with_children,395,1402,2011,18,0.012838801711840228,0.009448035803083043,0.3888888888888889,0.17760342368045648,25,564,36,0.06382978723404255
2014-08-01,31_90,15_plus,family_with_children,107,340,475,5,0.014705882352941176,0.010526315789473684,0.0,0.16470588235294117,5,142,13,0.09154929577464789
2014-03-01,same_next_day,2_3,couple,5322,16097,22624,1868,0.11604646828601603,0.08323019801980198,0.027837259100642397,0.1799092998695409,1920,6693,2291,0.3422979232033468
2014-03-01,8_30,1,couple,18387,59622,77800,6369,0.10682298480426689,0.08309768637532133,0.02166745171926519,0.11505819999329106,6507,24709,7287,0.2949127848152495
2014-03-01,2_7,1,family_with_children,4960,17347,23958,2146,0.12371015161122961,0.09086735119792971,0.005125815470643057,0.16008531734593878,2157,6537,2231,0.3412880526235276
2014-03-01,same_next_day,1,solo,7671,22097,28940,5036,0.2279042403946237,0.1748790601243953,0.014694201747418586,0.1389781418292076,5110,10131,5352,0.528279538051525
2014-03-01,same_next_day,1,couple,10852,32237,43683,5058,0.15690045599776653,0.11681889980083786,0.0019770660340055358,0.22086422433849304,5068,14002,5647,0.4032995286387659
2014-03-01,8_30,1,solo,9536,28366,36240,4845,0.17080307410279913,0.1354028697571744,0.09514963880288958,0.06560671226115772,5306,12428,5122,0.4121338912133891
2014-03-01,91_plus,4_7,family_with_children,10637,54306,86530,1861,0.03426877324789158,0.021923032474286376,0.31757119828049435,0.18036681029720472,2452,19250,2011,0.10446753246753247
2014-03-01,8_30,2_3,family_with_children,9081,40203,56819,3038,0.07556650001243688,0.054295218148858654,0.06287030941408822,0.1499639330398229,3229,13749,3281,0.2386355371299731
2014-03-01,31_90,1,family_with_children,4432,17439,23743,1861,0.10671483456620219,0.07947605610074548,0.017732401934443847,0.12127988990194392,1894,6187,1871,0.30240827541619525
2014-03-01,2_7,2_3,family_with_children,4287,16604,22981,1417,0.08534088171524934,0.062094773943692616,0.03599153140437544,0.15345699831365936,1468,5881,1569,0.26679136201326303
2014-03-01,8_30,8_14,couple,1934,6690,9916,227,0.03393124065769806,0.023497377974989915,0.3568281938325991,0.14723467862481315,308,2785,350,0.12567324955116696
2014-03-01,91_plus,2_3,family_with_children,7223,36235,50673,2255,0.06223264799227266,0.045803485090679455,0.05942350332594235,0.13108872636953223,2389,11825,2317,0.19594080338266384
2014-03-01,8_30,1,group,2942,10123,13877,1150,0.11360268695050874,0.08323124594653022,0.013043478260869565,0.08268299911093549,1165,3865,1309,0.3386804657179819
2014-03-01,31_90,4_7,family_with_children,8118,39594,63098,1725,0.04356720715259888,0.0278931186408444,0.3681159420289855,0.15297772389756023,2360,14340,1922,0.13403068340306834
2014-03-01,same_next_day,1,group,1280,3879,5595,629,0.16215519463779324,0.11277926720285969,0.001589825119236884,0.1765919051301882,630,1581,736,0.465528146742568
2014-03-01,31_90,2_3,family_with_children,8552,37184,53024,2534,0.06814759036144578,0.048826946288473144,0.09194948697711129,0.14371772805507746,2767,12822,2671,0.20831383559507097
2014-03-01,8_30,4_7,family_with_children,6244,29815,46935,1404,0.04709039074291464,0.030403749866837117,0.30626780626780625,0.1486835485493879,1834,10714,1612,0.1504573455292141
2014-03-01,same_next_day,2_3,solo,3829,10916,14831,1997,0.18294246976914622,0.1355943631582496,0.06159238858287431,0.11139611579333089,2120,4839,2304,0.47613143211407316
2014-03-01,31_90,8_14,family_with_children,1341,5329,8667,170,0.03190091949709139,0.020076150917272412,0.43529411764705883,0.16832426346406457,244,2201,229,0.1040436165379373
2014-03-01,8_30,8_14,solo,1124,3566,5290,242,0.06786315199102635,0.04593572778827977,0.28512396694214875,0.08581043185642176,311,1533,318,0.20743639921722112
2014-03-01,91_plus,8_14,couple,5244,19749,32656,458,0.023191047647982178,0.014300587947084763,0.6397379912663755,0.17631272469492126,751,8286,655,0.07904899831040309
2014-03-01,2_7,8_14,solo,555,1626,2396,156,0.0959409594095941,0.0659432387312187,0.17307692307692307,0.07134071340713408,183,722,200,0.2770083102493075
2014-03-01,91_plus,1,family_with_children,3858,16124,21738,1619,0.10040932771024559,0.07594994939736867,0.012353304508956145,0.10053336641032001,1639,5661,1569,0.2771595124536301
2014-03-01,2_7,8_14,couple,735,1945,2708,85,0.043701799485861184,0.03138847858197932,0.15294117647058825,0.11105398457583547,98,907,153,0.16868798235942667
2014-03-01,2_7,4_7,family_with_children,1792,6967,10574,389,0.055834649059853594,0.03763949309627388,0.18508997429305912,0.1514281613319937,461,2631,467,0.17749904979095402
2014-03-01,same_next_day,2_3,group,710,2102,3038,293,0.13939105613701236,0.0967741935483871,0.023890784982935155,0.1598477640342531,300,855,367,0.42923976608187137
2014-03-01,same_next_day,4_7,group,216,587,868,71,0.12095400340715502,0.08294930875576037,0.056338028169014086,0.1141396933560477,75,278,91,0.3273381294964029
2014-03-01,91_plus,15_plus,family_with_children,458,1474,2181,25,0.016960651289009497,0.01192113709307657,0.36,0.1350067842605156,34,630,53,0.08412698412698413
2014-03-01,91_plus,8_14,solo,1044,3534,5554,101,0.028579513299377475,0.018185091825711198,0.4752475247524752,0.1298811544991511,149,1573,136,0.08645899554990465
2014-03-01,same_next_day,4_7,couple,1523,4169,6157,351,0.08419285200287839,0.057333116777651454,0.06267806267806268,0.15255456944111298,373,1864,481,0.2580472103004292
2014-03-01,31_90,15_plus,couple,560,1783,2554,23,0.012899607403252944,0.009005481597494126,0.17391304347826086,0.17274256870443072,27,763,84,0.11009174311926606
2014-03-01,2_7,15_plus,couple,143,364,454,8,0.02197802197802198,0.01762114537444934,0.25,0.07142857142857142,10,166,25,0.15060240963855423
2014-03-01,8_30,15_plus,couple,354,791,1043,20,0.025284450063211124,0.019175455417066157,0.15,0.13653603034134007,23,409,39,0.09535452322738386
2014-03-01,91_plus,8_14,group,851,3188,5064,83,0.026035131744040152,0.016587677725118485,0.5542168674698795,0.1606022584692597,129,1252,108,0.08626198083067092
2014-03-01,same_next_day,4_7,solo,1153,3244,4570,502,0.15474722564734894,0.1111597374179431,0.08764940239043825,0.10480887792848335,546,1477,617,0.4177386594448206
2014-03-01,31_90,15_plus,solo,270,841,1161,28,0.03329369797859691,0.024117140396210164,0.25,0.08680142687277051,35,340,39,0.11470588235294117
2014-03-01,same_next_day,8_14,solo,181,439,591,54,0.12300683371298406,0.09306260575296109,0.16666666666666666,0.08200455580865604,63,208,74,0.3557692307692308
2014-03-01,8_30,15_plus,solo,294,795,1117,43,0.05408805031446541,0.03939122649955237,0.16279069767441862,0.05660377358490566,50,369,58,0.15718157181571815
2014-03-01,31_90,15_plus,group,71,170,245,3,0.01764705882352941,0.012244897959183673,0.0,0.09411764705882353,3,82,8,0.0975609756097561
2014-03-01,same_next_day,8_14,couple,177,367,516,36,0.09809264305177112,0.06976744186046512,0.05555555555555555,0.1444141689373297,38,201,61,0.3034825870646766
2014-03-01,same_next_day,8_14,group,26,56,77,1,0.017857142857142856,0.012987012987012988,0.0,0.07142857142857142,1,30,5,0.16666666666666666
2014-03-01,same_next_day,15_plus,solo,55,127,205,4,0.031496062992125984,0.01951219512195122,0.0,0.07874015748031496,4,63,9,0.14285714285714285
2014-03-01,2_7,15_plus,solo,146,336,462,24,0.07142857142857142,0.05194805194805195,0.125,0.11011904761904762,27,178,40,0.2247191011235955
2014-03-01,8_30,8_14,group,226,638,983,23,0.03605015673981191,0.0254323499491353,0.21739130434782608,0.10658307210031348,28,309,36,0.11650485436893204
2014-04-01,8_30,2_3,couple,27525,104908,147433,7633,0.07275898882830671,0.052566250432399805,0.1320581684789729,0.12769283562740688,8641,41039,9005,0.2194254245961159
2014-04-01,31_90,4_7,couple,22693,99809,158327,4248,0.042561292067849595,0.027247405685701113,0.4211393596986817,0.14793255117273993,6037,37997,5100,0.13422112272021475
2014-04-01,2_7,1,couple,15983,49145,64979,6352,0.12925017804456201,0.09890887825297404,0.00802896725440806,0.14184555905992471,6403,20638,6977,0.33806570404108927
2014-04-01,8_30,4_7,couple,14517,56925,87072,2874,0.050487483530961795,0.033432102168320474,0.34585942936673625,0.14266139657444005,3868,22533,3589,0.1592775041050903
2014-04-01,31_90,8_14,couple,3537,13603,21112,436,0.032051753289715504,0.020935960591133004,0.4701834862385321,0.14246857310887304,641,5416,666,0.12296898079763663
2014-04-01,91_plus,4_7,solo,4282,14777,22022,644,0.04358124111795358,0.029879211697393517,0.35714285714285715,0.12884888678351492,874,6336,780,0.12310606060606061
2014-04-01,91_plus,2_3,family_with_children,5863,28435,40671,1702,0.05985581149991208,0.043101964544761624,0.05699177438307873,0.1273430631264287,1799,9457,1742,0.18420217828063867
2014-04-01,31_90,1,family_with_children,5027,23052,32100,2308,0.10012146451500954,0.07361370716510904,0.00779896013864818,0.13261322228006248,2326,7667,2234,0.2913786357114908
2014-04-01,8_30,4_7,solo,7127,24680,34817,2283,0.09250405186385738,0.0668064451273803,0.287341217696014,0.08594003241491086,2939,10537,2663,0.25272848059219893
2014-04-01,2_7,2_3,couple,13773,46532,64366,4053,0.08710134960887131,0.06358947270297984,0.07920059215396003,0.14037651508639215,4374,18674,4957,0.2654492877798008
2014-04-01,8_30,2_3,solo,13896,46321,63052,5759,0.12432805854795881,0.09328807968026391,0.20350755339468657,0.07968308110792081,6931,19924,6338,0.3181088134912668
2014-04-01,2_7,4_7,family_with_children,1703,6672,10555,370,0.05545563549160672,0.035528185693983895,0.25405405405405407,0.14448441247002397,464,2543,446,0.17538340542666142
2014-04-01,91_plus,4_7,couple,20164,86693,138358,2843,0.03279388185897362,0.020945662701108717,0.4231445655997186,0.16604570149839087,4046,34436,3355,0.09742711116273667
2014-04-01,8_30,4_7,group,2111,8707,13530,453,0.05202710462845986,0.034072431633407244,0.25165562913907286,0.11232341793958883,567,3242,586,0.18075262183837137
2014-04-01,8_30,1,family_with_children,5196,19396,27036,2055,0.10594968034646318,0.07715638408048528,0.007785888077858881,0.12811919983501752,2071,7097,2179,0.30703113991827535
2014-04-01,same_next_day,1,family_with_children,3113,10769,15271,1439,0.13362429194911318,0.09482024752799424,0.0006949270326615705,0.2587055436902219,1440,4016,1473,0.3667828685258964
2014-04-01,2_7,1,solo,10544,30313,38962,5938,0.19588955233728103,0.15435552589702786,0.05574267430111148,0.07597400455250222,6269,13715,6264,0.45672621217644915
2014-04-01,31_90,2_3,family_with_children,9112,45193,63537,2738,0.06058460381032461,0.04411602688197428,0.06574141709276844,0.14152634257517757,2918,14797,2821,0.19064675272014597
2014-04-01,2_7,2_3,solo,9086,28785,38632,4229,0.14691679694285217,0.11102195071443363,0.14495152518325846,0.08070175438596491,4842,12353,4702,0.38063628268436817
2014-04-01,31_90,4_7,solo,7075,24958,36426,1688,0.06763362448914176,0.04724647230000549,0.36492890995260663,0.09467906082218126,2304,10523,1982,0.18834933003896226
2014-04-01,91_plus,8_14,family_with_children,2547,11035,17601,279,0.02528318985047576,0.01619226180330663,0.44802867383512546,0.18087902129587677,404,4194,350,0.08345255126371007
2014-04-01,8_30,2_3,group,5035,20997,30638,1509,0.07186740962994713,0.049644232652261894,0.09741550695825049,0.09653760060961089,1656,7572,1863,0.2460380348652932
2014-04-01,31_90,8_14,solo,1365,4481,6468,213,0.04753403258201294,0.033240568954854666,0.38497652582159625,0.11091274269136353,295,1955,291,0.14884910485933503
2014-04-01,31_90,15_plus,family_with_children,281,978,1421,22,0.022494887525562373,0.015482054890921885,0.4090909090909091,0.14826175869120656,31,426,36,0.08450704225352113
2014-04-01,2_7,2_3,group,2133,7110,10045,658,0.09254571026722926,0.06570433051269288,0.0364741641337386,0.11026722925457103,682,2812,845,0.30049786628734
2014-04-01,91_plus,15_plus,family_with_children,310,1084,1552,21,0.01937269372693727,0.013530927835051547,0.23809523809523808,0.17435424354243542,26,430,36,0.08372093023255814
2014-04-01,91_plus,4_7,group,4185,18755,29905,647,0.03449746734204212,0.022069887978598896,0.3910355486862442,0.15542521994134897,900,6927,759,0.10957124296232135
2014-04-01,91_plus,1,family_with_children,3090,13233,18307,1323,0.09997732940376332,0.07412465177254603,0.012093726379440665,0.10368019345575455,1339,4623,1263,0.27319922128487995
2014-04-01,same_next_day,8_14,solo,202,442,623,38,0.08597285067873303,0.06420545746388442,0.02631578947368421,0.11764705882352941,39,238,64,0.2689075630252101
2014-04-01,same_next_day,2_3,family_with_children,1635,5879,8579,497,0.08453818676645689,0.05816528732952558,0.022132796780684104,0.23235244089130805,508,2075,582,0.28048192771084335
2014-04-01,same_next_day,4_7,family_with_children,467,1594,2542,84,0.05269761606022585,0.033438237608182535,0.20238095238095238,0.1725219573400251,101,600,124,0.20666666666666667
2014-04-01,31_90,4_7,group,4286,19848,31338,858,0.04322853688029021,0.027474631437870954,0.358974358974359,0.1333131801692866,1166,7119,1030,0.14468324202837476
2014-04-01,2_7,1,group,2436,7741,10718,1027,0.13267019764888258,0.0966598245941407,0.009737098344693282,0.12311070921069629,1037,3094,1192,0.38526179702650293
2014-04-01,2_7,8_14,couple,640,1872,2620,92,0.049145299145299144,0.035114503816793895,0.20652173913043478,0.10416666666666667,111,834,139,0.16666666666666666
2014-04-01,8_30,8_14,family_with_children,449,1587,2527,50,0.0315059861373661,0.019786307874950535,0.44,0.15500945179584122,72,656,75,0.11432926829268293
2014-04-01,2_7,8_14,solo,566,1539,2044,166,0.1078622482131254,0.08317025440313111,0.20481927710843373,0.08576998050682261,200,740,213,0.28783783783783784
2014-04-01,8_30,15_plus,couple,344,773,1006,28,0.03622250970245795,0.027833001988071572,0.25,0.09961190168175937,35,401,67,0.16708229426433915
2014-04-01,31_90,8_14,group,560,1985,3124,65,0.0327455919395466,0.020806658130601792,0.26153846153846155,0.11788413098236776,82,823,91,0.11057108140947752
2014-04-01,2_7,15_plus,couple,203,413,578,13,0.031476997578692496,0.02249134948096886,0.15384615384615385,0.12590799031476999,15,229,40,0.17467248908296942
2014-04-01,2_7,8_14,group,89,268,371,18,0.06716417910447761,0.04851752021563342,0.05555555555555555,0.08208955223880597,19,110,27,0.24545454545454545
2014-04-01,2_7,15_plus,solo,181,456,651,32,0.07017543859649122,0.05069124423963134,0.09375,0.06140350877192982,35,222,56,0.25225225225225223
2014-04-01,same_next_day,8_14,group,30,56,80,6,0.10714285714285714,0.075,0.0,0.10714285714285714,6,31,7,0.22580645161290322
2014-04-01,same_next_day,8_14,couple,155,295,383,25,0.0847457627118644,0.06788511749347259,0.12,0.1423728813559322,28,168,39,0.23214285714285715
2014-04-01,8_30,15_plus,group,44,87,122,3,0.034482758620689655,0.02459016393442623,0.0,0.04597701149425287,3,51,8,0.1568627450980392
2014-04-01,same_next_day,15_plus,solo,65,115,175,2,0.017391304347826087,0.011428571428571429,0.5,0.1565217391304348,3,71,13,0.18309859154929578
2014-04-01,8_30,15_plus,solo,321,886,1172,52,0.05869074492099323,0.04436860068259386,0.21153846153846154,0.0835214446952596,63,399,75,0.18796992481203006
2014-04-01,same_next_day,15_plus,couple,54,94,116,2,0.02127659574468085,0.017241379310344827,0.0,0.14893617021276595,2,58,8,0.13793103448275862
2013-08-01,91_plus,8_14,couple,2844,9770,16383,242,0.024769703172978507,0.014893487151315388,0.7024793388429752,0.1691914022517912,412,4272,334,0.07818352059925093
2013-08-01,91_plus,2_3,family_with_children,3585,13723,19811,881,0.06419879035196385,0.04553026096612993,0.07377979568671963,0.12234934052320921,946,5150,940,0.1825242718446602
2013-08-01,2_7,2_3,couple,9337,29158,41736,2656,0.09108992386309074,0.06438087023193406,0.10278614457831325,0.1536799506138967,2929,12282,3401,0.27690929815990883
2013-08-01,8_30,2_3,family_with_children,9317,35172,52321,3252,0.09245991129307404,0.06328242961717093,0.042435424354243544,0.11398271352211987,3390,13183,3572,0.270955017825988
2013-08-01,31_90,2_3,solo,5780,17865,25876,1802,0.10086761824797089,0.07095377956407482,0.33074361820199777,0.09129582983487265,2398,7943,2032,0.25582273700113306
2013-08-01,31_90,2_3,couple,15153,56274,83420,3899,0.06928599353164872,0.04756653080795972,0.22800718132854578,0.13946049685467535,4788,22454,4580,0.20397256613520975
2013-08-01,8_30,1,solo,6427,17887,23711,3196,0.17867725163526585,0.13651891527139304,0.0969962453066333,0.062056241963437134,3506,8156,3449,0.4228788621873467
2013-08-01,31_90,8_14,couple,2092,8117,13677,261,0.032154736971787605,0.019229363164436644,0.6590038314176245,0.16163607244055686,433,3254,399,0.12261831591886908
2013-08-01,31_90,1,group,1434,4766,6784,528,0.11078472513638271,0.07871462264150944,0.003787878787878788,0.11665967268149391,530,1956,606,0.3098159509202454
2013-08-01,2_7,2_3,solo,5016,14281,19592,2270,0.15895245430992228,0.11719069007758269,0.2026431718061674,0.10237378334850501,2730,6474,2573,0.3974358974358974
2013-08-01,2_7,1,solo,6017,16288,21191,3362,0.20640962671905697,0.15950167523948847,0.08298631766805473,0.09694253438113949,3641,7494,3590,0.47904990659194024
2013-08-01,31_90,4_7,couple,12496,49644,81532,2446,0.049270808154056885,0.03033164892312221,0.5412919051512673,0.16086536137297558,3770,19972,2976,0.14900861205687962
2013-08-01,8_30,15_plus,solo,196,477,739,21,0.0440251572327044,0.029769959404600813,0.38095238095238093,0.09433962264150944,29,239,35,0.14644351464435146
2013-08-01,2_7,1,couple,10293,29799,41209,4039,0.13554146112285648,0.0988861656434274,0.011884129735082941,0.1478908688211014,4087,12906,4684,0.3629319696265303
2013-08-01,8_30,4_7,family_with_children,4904,18282,28692,1285,0.07028771469204682,0.04548306148055207,0.18910505836575875,0.12186850453998468,1528,7193,1507,0.2095092450994022
2013-08-01,31_90,1,couple,7800,25836,35835,2891,0.11189812664499149,0.08201479000976698,0.03216879972327914,0.11418176188264437,2984,10634,3143,0.2955614068083506
2013-08-01,91_plus,1,couple,2967,9038,12208,839,0.09283027218411152,0.07085517693315858,0.03814064362336114,0.10477981854392565,871,3967,947,0.23871943534156795
2013-08-01,8_30,1,couple,12455,39683,54321,4796,0.12085779804954262,0.08924725244380627,0.020642201834862386,0.11181110299120531,4895,16617,5444,0.32761629656376
2013-08-01,31_90,4_7,group,1683,6710,10966,328,0.0488822652757079,0.03027539668064928,0.4603658536585366,0.15141579731743665,479,2606,407,0.15617805065234075
2013-08-01,31_90,1,solo,3345,9518,12887,1348,0.1416263920991805,0.10592069527430745,0.09272997032640949,0.06818659382223156,1473,4305,1479,0.34355400696864113
2013-08-01,91_plus,4_7,family_with_children,6237,26411,42163,947,0.03585627200787551,0.022982235609420584,0.3020063357972545,0.15925182689031087,1233,9979,1059,0.1061228580018038
2013-08-01,same_next_day,1,family_with_children,4650,14692,21498,2434,0.16566839096106725,0.11424318541259652,0.0016433853738701725,0.25279063435883475,2438,5862,2533,0.4321050835892187
2013-08-01,8_30,1,group,2274,8471,12389,980,0.11568882068232794,0.07982888045847122,0.015306122448979591,0.09845354739700153,995,3138,1122,0.3575525812619503
2013-08-01,31_90,15_plus,couple,275,703,1073,22,0.031294452347083924,0.02050326188257223,0.5909090909090909,0.09815078236130868,35,352,55,0.15625
2013-08-01,31_90,4_7,solo,4274,14067,21854,1092,0.07762849221582427,0.05092889173606662,0.4945054945054945,0.09092201606597,1632,6079,1277,0.21006744530350385
2013-08-01,91_plus,8_14,solo,636,1950,2947,52,0.02666666666666667,0.017645062775704105,0.7307692307692307,0.12666666666666668,90,874,76,0.08695652173913043
