year_month,is_package,lead_time_bucket,stay_length_bucket,party_segment,channel,is_mobile,users,events,weighted_events,bookings,weighted_bookings,booking_row_rate,booking_weighted_event_rate,booking_value_proxy_total
2014/09/01,"1",2_7,4_7,couple,"9","0","1028","3416","6315","122","122",0.0357142857142857,0.0193190815518606,"244"
2014/09/01,"1",31_90,2_3,solo,"9","0","3006","8530","15218","607","616",0.0711606096131301,0.0404783808647654,"1214"
2014/09/01,"0",8_30,"1",couple,"9","0","14684","49917","62910","5662","5719",0.113428290962999,0.0909076458432682,"5662"
2014/09/01,"0",31_90,4_7,couple,"0","0","2329","8013","10345","303","305",0.0378135529764133,0.0294828419526341,"303"
2014/09/01,"0",91_plus,"1",family_with_children,"9","0","1490","6215","8198","577","588",0.0928399034593725,0.071724810929495,"577"
2014/09/01,"1",8_30,4_7,couple,"5","0","506","1429","2594","56","58",0.0391882435269419,0.0223592906707787,"112"
2014/09/01,"0",91_plus,"1",group,"0","0","251","962","1253","80","81",0.0831600831600832,0.0646448523543496,"80"
2014/09/01,"0",91_plus,2_3,couple,"9","0","6578","28233","34535","1526","1560",0.0540502249141076,0.0451715650789055,"1526"
2014/09/01,"1",31_90,2_3,couple,"2","0","1474","3788","7168","90","92",0.0237592397043295,0.0128348214285714,"180"
2014/09/01,"0",same_next_day,2_3,family_with_children,"1","0","107","296","413","26","26",0.0878378378378378,0.062953995157385,"26"
2014/09/01,"0",8_30,2_3,couple,"7","0","637","1453","1900","62","62",0.0426703372333104,0.0326315789473684,"62"
2014/09/01,"0",8_30,4_7,couple,"9","0","6534","25357","32323","1419","1444",0.0559608786528375,0.044674071094886,"1419"
2014/09/01,"0",31_90,4_7,couple,"3","1","373","875","1194","19","19",0.0217142857142857,0.0159128978224456,"19"
2014/09/01,"0",91_plus,8_14,couple,"3","0","615","1512","1912","20","21",0.0132275132275132,0.0109832635983264,"20"
2014/09/01,"1",91_plus,8_14,family_with_children,"9","0","1176","4756","9383","69","69",0.0145079899074853,0.00735372482148567,"138"
2014/09/01,"0",8_30,2_3,family_with_children,"0","0","959","3611","4820","227","233",0.0628634727222376,0.0483402489626556,"227"
2014/09/01,"0",2_7,4_7,couple,"0","0","648","1906","2565","122","122",0.0640083945435467,0.0475633528265107,"122"
2014/09/01,"0",2_7,"1",couple,"1","0","2301","6503","8632","722","732",0.111025680455175,0.0848007414272474,"722"
2014/09/01,"1",91_plus,4_7,group,"9","0","1726","6897","13244","131","132",0.0189937654052487,0.00996677740863787,"262"
2014/09/01,"1",31_90,4_7,group,"9","0","1149","4321","8307","156","157",0.0361027539921314,0.0188997231250752,"312"
2014/09/01,"1",91_plus,4_7,group,"8","0","11","28","54","0","0",0,0,"0"
2014/09/01,"1",91_plus,8_14,couple,"5","0","275","658","1120","22","22",0.033434650455927,0.0196428571428571,"44"
2014/09/01,"0",same_next_day,"1",couple,"9","1","2880","9148","12564","1316","1322",0.143856580673371,0.105221267112385,"1316"
2014/09/01,"0",same_next_day,"1",solo,"1","1","277","753","1019","115","115",0.152722443559097,0.112855740922473,"115"
2014/09/01,"0",8_30,8_14,solo,"9","0","773","2400","3054","153","155",0.06375,0.0507531106745252,"153"
2014/09/01,"0",8_30,4_7,couple,"2","0","1747","5581","7241","221","225",0.0395986382368751,0.0310730562077061,"221"
2014/09/01,"0",2_7,2_3,group,"2","0","174","516","689","41","41",0.0794573643410853,0.0595065312046444,"41"
2014/09/01,"1",2_7,4_7,solo,"9","0","824","2574","4269","247","247",0.095959595959596,0.0578589833684704,"494"
2014/09/01,"0",2_7,"1",couple,"9","1","2274","6653","8855","706","714",0.106117540958966,0.0806324110671937,"706"
2014/09/01,"1",8_30,4_7,family_with_children,"9","1","229","946","1641","21","21",0.0221987315010571,0.0127970749542962,"42"
2014/09/01,"1",same_next_day,2_3,solo,"9","0","535","1154","1933","127","127",0.110051993067591,0.0657009829280911,"254"
2014/09/01,"1",91_plus,8_14,group,"0","0","113","331","568","5","5",0.0151057401812689,0.00880281690140845,"10"
2014/09/01,"0",2_7,4_7,couple,"2","0","595","1676","2271","73","75",0.0435560859188544,0.0330250990752972,"73"
2014/09/01,"0",2_7,4_7,couple,"9","1","469","1392","1914","91","91",0.0653735632183908,0.0475444096133751,"91"
2014/09/01,"0",31_90,4_7,solo,"5","0","673","1957","2699","169","181",0.086356668369954,0.0670618747684328,"169"
2014/09/01,"0",91_plus,2_3,solo,"4","0","109","433","576","44","46",0.10161662817552,0.0798611111111111,"44"
2014/09/01,"0",same_next_day,"1",group,"9","1","322","1196","1578","206","206",0.172240802675585,0.130544993662864,"206"
2014/09/01,"1",91_plus,8_14,couple,"9","1","655","2325","4060","25","25",0.010752688172043,0.0061576354679803,"50"
2014/09/01,"0",91_plus,2_3,couple,"5","0","1845","6631","9018","495","516",0.0746493741517117,0.0572188955422488,"495"
2014/09/01,"1",8_30,"1",solo,"9","1","110","288","415","14","14",0.0486111111111111,0.0337349397590361,"28"
2014/09/01,"0",same_next_day,"1",solo,"5","0","667","1862","2621","392","392",0.210526315789474,0.149561236169401,"392"
2014/09/01,"0",2_7,4_7,couple,"5","0","689","2100","2898","172","176",0.0819047619047619,0.0607315389924086,"172"
2014/09/01,"1",31_90,4_7,family_with_children,"9","0","2213","9250","17694","277","279",0.0299459459459459,0.0157680569684639,"554"
2014/09/01,"1",91_plus,4_7,couple,"0","1","807","2609","4926","27","28",0.0103487926408586,0.00568412505075112,"54"
2014/09/01,"1",31_90,2_3,couple,"1","0","1479","4551","8498","197","198",0.043287189628653,0.0232995999058602,"394"
2014/09/01,"0",31_90,2_3,family_with_children,"8","0","28","130","162","5","5",0.0384615384615385,0.0308641975308642,"5"
2014/09/01,"0",2_7,"1",group,"9","0","1831","5852","7744","832","835",0.142173615857826,0.107825413223141,"832"
2014/09/01,"1",8_30,4_7,couple,"0","0","1247","4254","8287","163","166",0.038316878232252,0.0200313744418969,"326"
2014/09/01,"1",8_30,4_7,couple,"3","0","358","1214","2342","26","26",0.0214168039538715,0.0111016225448335,"52"
2014/09/01,"0",2_7,4_7,solo,"0","0","460","1206","1670","158","162",0.131011608623549,0.0970059880239521,"158"
2014/09/01,"0",8_30,2_3,solo,"3","0","592","1791","2383","166","168",0.0926856504745952,0.0704993705413345,"166"
2014/09/01,"1",91_plus,4_7,group,"1","1","123","411","771","2","2",0.0048661800486618,0.00259403372243839,"4"
2014/09/01,"0",31_90,4_7,group,"9","0","1454","6153","7910","239","240",0.0388428408906225,0.0303413400758533,"239"
2014/09/01,"0",2_7,4_7,group,"5","0","167","452","683","33","35",0.0730088495575221,0.0512445095168375,"33"
2014/09/01,"0",31_90,4_7,couple,"1","0","1835","6438","8405","244","249",0.0378999689344517,0.0296252230814991,"244"
2014/09/01,"0",8_30,8_14,couple,"9","0","916","3226","4027","128","129",0.0396776193428394,0.0320337720387385,"128"
2014/09/01,"1",91_plus,4_7,couple,"8","0","43","149","244","1","1",0.00671140939597315,0.00409836065573771,"2"
2014/09/01,"0",2_7,"1",couple,"0","0","3684","10136","13608","1167","1180",0.115134175217048,0.0867136978248089,"1167"
2014/09/01,"0",2_7,"1",solo,"9","1","801","2056","2624","296","298",0.143968871595331,0.113567073170732,"296"
2014/09/01,"0",31_90,2_3,couple,"9","1","2236","8093","10528","403","413",0.0497961201037934,0.0392287234042553,"403"
2014/09/01,"1",8_30,2_3,group,"9","0","685","2117","3862","97","97",0.0458195559754369,0.025116519937856,"194"
2014/09/01,"0",31_90,2_3,couple,"2","0","3955","13789","17429","656","669",0.0475741533106099,0.03838430202536,"656"
2014/09/01,"0",91_plus,"1",couple,"5","0","1174","3773","5095","392","424",0.103896103896104,0.0832188420019627,"392"
2014/09/01,"1",8_30,"1",solo,"2","0","160","302","519","32","32",0.105960264900662,0.0616570327552987,"64"
2014/09/01,"0",8_30,4_7,couple,"7","0","174","485","640","23","23",0.0474226804123711,0.0359375,"23"
2014/09/01,"1",91_plus,"1",solo,"9","0","187","367","615","12","12",0.0326975476839237,0.0195121951219512,"24"
2014/09/01,"1",31_90,4_7,couple,"7","0","351","817","1429","18","18",0.02203182374541,0.0125962211336599,"36"
2014/09/01,"0",2_7,"1",solo,"2","0","895","2311","3080","384","385",0.166161834703592,0.125,"384"
2014/09/01,"0",2_7,"1",family_with_children,"0","0","607","2000","2781","186","188",0.093,0.067601582164689,"186"
2014/09/01,"0",2_7,2_3,couple,"1","0","1798","5507","7307","406","413",0.0737243508262212,0.0565211441083892,"406"
2014/09/01,"1",91_plus,"1",family_with_children,"9","0","184","350","544","9","9",0.0257142857142857,0.0165441176470588,"18"
2014/09/01,"0",8_30,"1",family_with_children,"2","1","269","757","1004","38","40",0.0501981505944518,0.0398406374501992,"38"
2014/09/01,"0",31_90,4_7,solo,"1","0","689","2330","3033","131","132",0.0562231759656652,0.0435212660731949,"131"
2014/09/01,"1",91_plus,4_7,group,"0","0","495","1771","3452","38","39",0.0214568040654997,0.011297798377752,"76"
2014/09/01,"1",2_7,"1",solo,"1","0","169","391","652","56","56",0.143222506393862,0.0858895705521472,"112"
2014/09/01,"0",8_30,4_7,group,"9","0","1080","4213","5426","231","232",0.0548302872062663,0.0427570954662735,"231"
2014/09/01,"0",8_30,4_7,family_with_children,"5","0","454","1382","1934","78","80",0.0564399421128799,0.0413650465356774,"78"
2014/09/01,"0",91_plus,8_14,family_with_children,"1","0","195","734","948","16","16",0.0217983651226158,0.0168776371308017,"16"
2014/09/01,"0",91_plus,4_7,solo,"1","0","378","1423","1842","34","34",0.0238931834153197,0.0184581976112921,"34"
2014/09/01,"1",31_90,"1",couple,"1","0","202","405","788","15","16",0.037037037037037,0.0203045685279188,"30"
2014/09/01,"0",91_plus,"1",family_with_children,"5","0","377","1284","1697","112","116",0.0872274143302181,0.0683559222156747,"112"
2014/09/01,"0",8_30,4_7,solo,"0","0","884","2713","3479","247","252",0.0910431256911168,0.0724346076458753,"247"
2014/09/01,"1",31_90,2_3,solo,"2","0","513","1290","2353","77","77",0.0596899224806202,0.0327241818954526,"154"
2014/09/01,"0",31_90,"1",family_with_children,"5","0","310","1008","1405","108","111",0.107142857142857,0.0790035587188612,"108"
2014/09/01,"1",2_7,2_3,couple,"9","1","301","766","1315","33","33",0.0430809399477807,0.0250950570342205,"66"
2014/09/01,"0",91_plus,2_3,family_with_children,"9","0","2509","12275","16132","684","696",0.0557230142566191,0.0431440614926853,"684"
2014/09/01,"0",same_next_day,2_3,group,"1","0","77","229","305","21","21",0.091703056768559,0.0688524590163934,"21"
2014/09/01,"1",8_30,"1",group,"9","0","134","248","398","10","10",0.0403225806451613,0.0251256281407035,"20"
2014/09/01,"0",31_90,4_7,family_with_children,"3","0","365","1361","1924","47","47",0.0345334313005143,0.0244282744282744,"47"
2014/09/01,"1",91_plus,4_7,couple,"3","1","103","281","526","2","2",0.00711743772241993,0.00380228136882129,"4"
2014/09/01,"0",31_90,8_14,solo,"9","0","677","1980","2513","114","118",0.0575757575757576,0.0469558296856347,"114"
2014/09/01,"1",91_plus,8_14,couple,"1","1","180","520","834","3","3",0.00576923076923077,0.00359712230215827,"6"
2014/09/01,"0",same_next_day,"1",solo,"9","1","1239","3820","5011","714","715",0.186910994764398,0.142686090600678,"714"
2014/09/01,"0",2_7,"1",solo,"1","0","1339","3804","4908","614","624",0.161409043112513,0.127139364303178,"614"
2014/09/01,"1",8_30,4_7,solo,"9","0","2270","6802","11765","525","528",0.0771831814172302,0.0448788780280493,"1050"
2014/09/01,"1",8_30,"1",couple,"9","0","940","1627","2629","118","120",0.0725261216963737,0.0456447318372005,"236"
2014/09/01,"0",91_plus,"1",group,"9","0","891","3497","4487","319","327",0.0912210466113812,0.0728772008023178,"319"
2014/09/01,"0",31_90,"1",couple,"9","1","1323","4035","5190","315","321",0.0780669144981413,0.061849710982659,"315"
2014/09/01,"0",31_90,"1",couple,"5","0","1502","4716","6219","582","595",0.123409669211196,0.0956745457469046,"582"
2014/09/01,"0",31_90,2_3,solo,"1","0","1061","3587","4504","258","263",0.0719264008921104,0.058392539964476,"258"
2014/09/01,"1",31_90,4_7,couple,"1","0","1902","7183","13899","246","248",0.0342475288876514,0.01784301028851,"492"
2014/09/01,"0",31_90,2_3,couple,"3","1","500","1371","1901","64","67",0.0466812545587163,0.0352446081009995,"64"
2014/09/01,"0",91_plus,2_3,couple,"3","0","2248","7408","9834","424","441",0.0572354211663067,0.0448444173276388,"424"
2014/09/01,"0",31_90,2_3,solo,"9","1","475","1381","1765","75","75",0.054308472121651,0.0424929178470255,"75"
2014/09/01,"1",31_90,"1",solo,"1","0","115","213","358","17","17",0.07981220657277,0.0474860335195531,"34"
2014/09/01,"0",8_30,2_3,family_with_children,"9","1","714","2662","3543","133","137",0.0499624342599549,0.0386677956534011,"133"
2014/09/01,"0",91_plus,"1",group,"1","0","195","844","1124","69","71",0.0817535545023697,0.0631672597864769,"69"
2014/09/01,"0",91_plus,2_3,group,"3","0","398","1568","2004","83","85",0.0529336734693878,0.0424151696606786,"83"
2014/09/01,"0",same_next_day,"1",family_with_children,"9","0","1065","3596","4902","512","516",0.14238042269188,0.105263157894737,"512"
2014/09/01,"0",8_30,"1",group,"5","0","555","1740","2441","207","208",0.118965517241379,0.0852109791069234,"207"
2014/09/01,"0",31_90,"1",solo,"5","0","658","1940","2496","276","290",0.142268041237113,0.116185897435897,"276"
2014/09/01,"1",31_90,8_14,couple,"8","0","7","11","32","0","0",0,0,"0"
2014/09/01,"0",91_plus,4_7,family_with_children,"5","0","957","3744","4972","152","156",0.0405982905982906,0.0313757039420756,"152"
2014/09/01,"0",91_plus,8_14,family_with_children,"9","0","858","3168","3985","65","67",0.0205176767676768,0.0168130489335006,"65"
2014/09/01,"0",31_90,"1",group,"2","0","355","1278","1731","96","97",0.0751173708920188,0.0560369728480647,"96"
2014/09/01,"0",8_30,4_7,family_with_children,"9","0","1254","5320","7136","241","243",0.0453007518796993,0.0340526905829596,"241"
2014/09/01,"1",8_30,4_7,couple,"1","0","1015","3624","6873","133","133",0.0366997792494481,0.019351083951695,"266"
2014/09/01,"1",8_30,8_14,couple,"9","0","545","1822","3393","48","48",0.026344676180022,0.0141467727674624,"96"
2014/09/01,"0",31_90,2_3,solo,"2","0","954","3335","4141","213","215",0.0638680659670165,0.0519198261289544,"213"
2014/09/01,"0",8_30,"1",couple,"2","0","5110","13906","17283","879","895",0.063210125125845,0.0517849910316496,"879"
2014/09/01,"0",91_plus,4_7,couple,"3","0","3036","8662","11005","208","214",0.0240129300392519,0.0194457064970468,"208"
2014/09/01,"0",31_90,"1",couple,"3","0","1703","5090","6700","482","493",0.0946954813359528,0.0735820895522388,"482"
2014/09/01,"0",2_7,"1",couple,"4","0","444","1472","1982","234","235",0.158967391304348,0.118567103935419,"234"
2014/09/01,"1",91_plus,4_7,couple,"6","0","62","204","407","7","8",0.0343137254901961,0.0196560196560197,"14"
2014/09/01,"0",same_next_day,2_3,couple,"3","0","395","1023","1355","83","84",0.0811339198435973,0.0619926199261993,"83"
2014/09/01,"1",8_30,2_3,couple,"6","0","66","221","435","28","28",0.126696832579186,0.064367816091954,"56"
2014/09/01,"1",8_30,4_7,solo,"0","1","90","236","392","6","6",0.0254237288135593,0.0153061224489796,"12"
2014/09/01,"0",2_7,"1",couple,"5","0","1220","3528","4786","474","479",0.134353741496599,0.100083577099875,"474"
2014/09/01,"1",31_90,2_3,couple,"7","0","355","838","1469","12","13",0.0143198090692124,0.00884955752212389,"24"
2014/09/01,"1",31_90,2_3,couple,"3","0","385","972","1904","38","38",0.0390946502057613,0.0199579831932773,"76"
2014/09/01,"1",same_next_day,2_3,couple,"1","0","96","199","343","5","5",0.0251256281407035,0.0145772594752187,"10"
2014/09/01,"0",2_7,4_7,family_with_children,"9","0","373","1276","1746","75","77",0.0587774294670846,0.0441008018327606,"75"
2014/09/01,"0",2_7,4_7,group,"9","0","428","1343","1774","113","114",0.0841399851079672,0.0642615558060879,"113"
2014/09/01,"0",91_plus,4_7,family_with_children,"1","0","774","3252","4432","84","86",0.025830258302583,0.0194043321299639,"84"
2014/09/01,"0",31_90,8_14,couple,"9","0","1257","4332","5274","103","104",0.0237765466297322,0.0197193780811528,"103"
2014/09/01,"1",91_plus,4_7,family_with_children,"3","0","298","1086","2325","13","15",0.0119705340699816,0.00645161290322581,"26"
2014/09/01,"0",31_90,4_7,solo,"0","0","778","2645","3372","160","164",0.0604914933837429,0.0486358244365362,"160"
2014/09/01,"0",31_90,"1",group,"5","0","415","1444","1992","176","178",0.121883656509695,0.0893574297188755,"176"
2014/09/01,"1",8_30,2_3,family_with_children,"1","0","120","440","756","15","15",0.0340909090909091,0.0198412698412698,"30"
2014/09/01,"0",31_90,"1",solo,"4","0","239","865","1135","143","145",0.165317919075145,0.127753303964758,"143"
2014/09/01,"0",2_7,4_7,solo,"1","0","370","1031","1389","102","103",0.0989330746847721,0.074154067674586,"102"
2014/09/01,"0",31_90,"1",couple,"2","0","2532","7547","9513","488","498",0.0646614548827349,0.0523494165878272,"488"
2014/09/01,"0",31_90,2_3,couple,"1","1","619","1927","2513","73","74",0.0378827192527244,0.0294468762435336,"73"
2014/09/01,"0",2_7,2_3,couple,"0","1","557","1568","2120","92","92",0.0586734693877551,0.0433962264150943,"92"
2014/09/01,"1",91_plus,2_3,couple,"1","1","268","717","1311","10","10",0.0139470013947001,0.007627765064836,"20"
2014/09/01,"1",2_7,8_14,solo,"9","0","151","381","651","25","25",0.0656167979002625,0.0384024577572965,"50"
2014/09/01,"0",8_30,2_3,couple,"3","0","3525","11619","15661","794","801",0.0683363456407608,0.0511461592490901,"794"
2014/09/01,"1",31_90,4_7,solo,"1","0","501","1558","2695","86","87",0.055198973042362,0.0322820037105751,"172"
2014/09/01,"0",2_7,"1",group,"0","1","86","214","289","17","17",0.0794392523364486,0.0588235294117647,"17"
2014/09/01,"1",2_7,"1",solo,"0","0","209","414","627","71","71",0.171497584541063,0.113237639553429,"142"
2014/09/01,"0",91_plus,2_3,solo,"2","0","304","1069","1318","68","68",0.0636108512628625,0.0515933232169954,"68"
2014/09/01,"0",31_90,2_3,solo,"7","0","124","357","437","15","15",0.0420168067226891,0.034324942791762,"15"
2014/09/01,"0",8_30,2_3,couple,"6","0","105","284","367","4","4",0.0140845070422535,0.0108991825613079,"4"
2014/09/01,"0",31_90,8_14,solo,"5","0","127","399","478","24","24",0.0601503759398496,0.0502092050209205,"24"
2014/09/01,"0",91_plus,2_3,solo,"7","0","64","269","317","5","6",0.0185873605947955,0.0189274447949527,"5"
2014/09/01,"0",8_30,"1",solo,"2","1","171","395","509","26","27",0.0658227848101266,0.0530451866404715,"26"
2014/09/01,"0",31_90,8_14,group,"9","0","194","674","886","9","9",0.013353115727003,0.0101580135440181,"9"
2014/09/01,"0",31_90,8_14,family_with_children,"9","0","396","1599","2210","36","39",0.0225140712945591,0.0176470588235294,"36"
2014/09/01,"0",31_90,2_3,group,"5","0","877","2950","4027","190","195",0.0644067796610169,0.0484231437794885,"190"
2014/09/01,"1",31_90,"1",couple,"9","0","801","1582","2675","69","69",0.0436156763590392,0.0257943925233645,"138"
2014/09/01,"1",same_next_day,8_14,solo,"1","0","6","28","49","0","0",0,0,"0"
2014/09/01,"1",31_90,4_7,solo,"4","0","97","273","504","38","38",0.139194139194139,0.0753968253968254,"76"
2014/09/01,"1",31_90,8_14,couple,"2","0","304","1017","1932","15","15",0.0147492625368732,0.0077639751552795,"30"
2014/09/01,"0",91_plus,"1",family_with_children,"2","1","84","311","405","11","11",0.0353697749196141,0.0271604938271605,"11"
2014/09/01,"0",91_plus,2_3,couple,"0","0","2047","7635","9779","376","388",0.0492468893254748,0.0396768585744964,"376"
2014/09/01,"1",2_7,"1",solo,"3","0","34","70","125","5","5",0.0714285714285714,0.04,"10"
2014/09/01,"0",31_90,"1",solo,"0","0","947","2847","3546","338","343",0.118721461187215,0.0967287084038353,"338"
2014/09/01,"0",8_30,8_14,family_with_children,"9","0","210","673","917","27","28",0.0401188707280832,0.0305343511450382,"27"
2014/09/01,"0",31_90,2_3,group,"0","1","146","439","555","29","29",0.0660592255125285,0.0522522522522523,"29"
2014/09/01,"0",same_next_day,"1",couple,"5","0","684","1965","2737","291","295",0.148091603053435,0.107782243332115,"291"
2014/09/01,"0",same_next_day,2_3,family_with_children,"9","1","134","438","635","36","37",0.0821917808219178,0.0582677165354331,"36"
2014/09/01,"0",91_plus,4_7,solo,"5","0","401","1089","1513","66","78",0.0606060606060606,0.0515532055518837,"66"
2014/09/01,"0",31_90,8_14,family_with_children,"0","0","82","242","300","6","6",0.0247933884297521,0.02,"6"
